sentence,label
32cm Euro Top Mattress - King,1
Lucca Bed Frame Fabric Gas Lift Storage - Grey King,1
Addison Table Lamp - White,1
Belleville Square Bistro Table,1
Samson Daybed SingleSamson Daybed Single,1
Criss Cross Back Carver Dining ChairHudson Furniture$690.00,1
Batavia High Back Dining ChairHudson Furniture$650.00,1
Cooper Chair,1
Deluxe Polyester Rope Swing Chair - Green by Castaway Living,1
Sunbrella Cushioned Single Swing - Expand Dove by Pawleys Island,1
Tufted Sunbrella Cushioned Single Swing - Cove Pebble by Pawleys Island,1
Queen Bed  65.5″W  88″L   H-13 1/2″FB/43 1/2″HB,1
King Bed  81″W   88″L   H-13 1/2″FB/43 1/2″HB,1
Antares Coffee Table,1
Aaron Mid Century Modern Upholstered Sofa – EMFURN,1
Handmade Enso Solid Wood Platform Bed Modern styling made in USA,1
American Leather CIRRUS Comfort Air Chair & Ottoman,1
American Leather CUMULUS Comfort Air Chair & Ottoman,1
MOP Inlay 3 Drawer Side Cabinet Floral Blush Ex-Display,1
Stellar Ergonomic Chair,1
Boost Folding Seminar Table - W1200,1
Meissa Pull-out Metal Sofa Bed Grey 200×90 cm,1
Porrima Sofa Bed in Metal Black 200×90 cm,1
Arncliffe Pop Bench – Royal Oak Furniture Company,1
5600 * 42”W x 60/78”D x 36”H * Rustic Two-Tone Rectangular Gathering Table w/Self-Storing Butterfly Leaf,1
Sofas + Loveseats,0
Speaker Tables,0
Gesture Chair,0
Modern Sectional Sofa,0
TV Beds,0
Wooden Beds,0
Recliner Armchairs,0
Bedroom Tables,0
Cigar Tables,0
Brass Coffee Tables,0
Modern Bookcase,0
Arch Mirrors,0
Curved Sofas and Couches,0
Outdoor Kids Tables,0
Walnut Bedroom Furniture,0
Oak Bedside Tables,0
Timber Dining Furniture,0
Wooden Dining Furniture,0
Office Shelves,0
Fabric Bed,0
Rectangular Dining Tables,0
Metal Coffee Tables,0
Velvet Armchairs,0
Ladder Shelves,0
Garden Sofa Sets,0
